,movie_title,genres,runtime_minutes,director_name,director_deathYear
198,G-Force,"Action,Adventure,Animation",88.0,Hoyt Yeatman,2
199,Bolt,"Adventure,Animation,Comedy",96.0,-,0
200,Encanto,"Animation,Comedy,Family",102.0,-,0
201,Wrath of the Titans,"Action,Adventure,Fantasy",99.0,Jonathan Liebesman,2
202,Beowulf,"Action,Adventure,Animation",115.0,Robert Zemeckis,2
203,Dark Shadows,"Comedy,Fantasy,Horror",113.0,Tim Burton,2
204,White House Down,"Action,Drama,Thriller",131.0,Roland Emmerich,2
205,Space Jam: A New Legacy,"Adventure,Animation,Comedy",115.0,Malcolm D. Lee,2
206,The Wolfman,"Drama,Fantasy,Horror",103.0,Joe Johnston,2
207,The Great Wall,"Action,Adventure,Fantasy",103.0,Yimou Zhang,2
208,The Great Wall,Documentary,72.0,Tadhg O'Sullivan,2
209,Pan,"Action,Adventure,Comedy",111.0,Joe Wright,2
210,Mars Needs Moms,"Action,Adventure,Animation",88.0,Simon Wells,2
211,Moonfall,"Action,Adventure,Sci-Fi",130.0,Roland Emmerich,2
212,Flushed Away,"Action,Adventure,Animation",85.0,-,0
213,Madagascar 3: Europe's Most Wanted,"Adventure,Animation,Comedy",95.0,-,0
214,How to Train Your Dragon 2,"Action,Adventure,Animation",102.0,Dean DeBlois,2
215,Tarzan,"Adventure,Animation,Comedy",88.0,-,0
216,Mr. Peabody & Sherman,"Adventure,Animation,Comedy",92.0,Rob Minkoff,2
217,Rise of the Guardians,"Action,Adventure,Animation",97.0,Peter Ramsey,2
218,Sahara,"Action,Adventure,Comedy",124.0,Breck Eisner,2
219,Ghostbusters,"Action,Comedy,Fantasy",117.0,Paul Feig,2
220,Die Another Day,"Action,Adventure,Thriller",133.0,Lee Tamahori,2
221,Star Trek,"Action,Adventure,Sci-Fi",127.0,J.J. Abrams,2
222,Armageddon,"Action,Adventure,Sci-Fi",151.0,Michael Bay,2
223,Captain America: The First Avenger,"Action,Adventure,Sci-Fi",124.0,Joe Johnston,2
224,Kung Fu Panda 3,"Action,Adventure,Animation",95.0,-,0
225,Lethal Weapon 4,"Action,Crime,Thriller",127.0,Richard Donner,2021
226,G.I. Joe: Retaliation,"Action,Adventure,Sci-Fi",110.0,Jon M. Chu,2
227,The Last Samurai,"Action,Drama",154.0,Edward Zwick,2
228,Exodus: Gods and Kings,"Action,Adventure,Drama",150.0,Ridley Scott,2
229,The BFG,"Adventure,Family,Fantasy",117.0,Steven Spielberg,2
230,Gemini Man,"Action,Adventure,Sci-Fi",117.0,Ang Lee,2
231,Gods of Egypt,"Action,Adventure,Fantasy",127.0,Alex Proyas,2
232,Spider-Man,"Action,Adventure,Sci-Fi",121.0,Sam Raimi,2
233,Watchmen,"Action,Drama,Mystery",162.0,Zack Snyder,2
234,Stealth,"Action,Adventure,Sci-Fi",121.0,Rob Cohen,2
235,The Incredible Hulk,"Action,Adventure,Sci-Fi",112.0,Louis Leterrier,2
236,Hulk,"Action,Sci-Fi",138.0,Ang Lee,2
